Pontoppidanstræde (Bertil Ohlins Vej / Aalborg),851991200,57015179,9972354
AAU Kantinen (Bertil Ohlins Vej / Aalborg),851991500,57015296,9975958
AAU Damstræde (Bertil Ohlins Vej / Aalborg),851991600,57014892,9983150
AAU Kroghstræde (Bertil Ohlins Vej / Aalborg),851008000,57015521,9979096
Mejrupstien (Bertil Ohlins Vej / Aalborg),851992000,57014838,9987447
AAU Busterminal (Sigrid Undsetsvej / Aalborg),851000300,57016123,9991114
Skelagergårdene (Skelagervej / Aalborg),851052700,57023593,9875513
Skelagergårdene Nord (Aalborg),851942800,57023989,9878255
Hasseris Gymnasium (Hasserisvej / Aalborg),851101900,57025355,9878291
Pendlerpladsen E45 (Bertil Ohlins Vej / Aalborg),851991400,57018514,9956793
Scoresbysundvej (Bertil Ohlins Vej / Aalborg),851009300,57021166,9952146
Gigantium syd (Bertil Ohlins Vej / Aalborg),851991300,57017022,9963095
Hvidkildevej (Humlebakken / Aalborg),851983900,57024699,10007322
Spergelvej (Klarupvej / Klarup),851012600,57012905,10039449
Lucernevej (Klarupvej / Klarup),851008500,57012033,10043018
Postvej (Klarupvej / Klarup),851805400,57012509,10045220
Jens Kalstrups Vej (Hasserisvej / Aalborg),851942600,57028915,9880196
Nordtoft (Hasserisvej / Aalborg),851942500,57031639,9881697
Magisterparken (Sohngårdsholmsvej / Aalborg),851009200,57027602,9944325
Sohngårdsholmsparken (Sohngårdsholmsvej/Aal,851108200,57032825,9942887
Metavej (Elisevej / Aalborg),851802300,57031351,9965225
Gjellerupstien (Humlebakken / Aalborg),851013900,57030227,9979500
Mejrupstien (Humlebakken / Aalborg),851982900,57029859,9987249
Sjørupstien (Humlebakken / Aalborg),851983500,57029526,9991986
Trekanten (Humlebakken / Aalborg),851060800,57026874,10001056
Sebbersundvej (Humlebakken / Aalborg),851983600,57028375,9996894
Rebildparken (Tranholmvej / Aalborg),851984000,57029418,10012131
Smedegårdsvej (Tranholmvej / Aalborg),851985400,57032762,10015601
Labyrinten (Klarupvej / Klarup),851100300,57014415,10051216
Hasseris Bymidte (Hasserisvej / Aalborg),851102000,57035378,9883783
Otiumgården (Stolpedalsvej / Aalborg),851933700,57034425,9891406
Bejsebakkevej (Aalborg),851933500,57034695,9898993
Mølleparkvej (Aalborg),851933400,57036097,9907919
Zoo (Bejsebakkevej / Aalborg),851933600,57037958,9902696
Sygehus Syd (Hobrovej / Aalborg),851300500,57038605,9910112
Østre Allé (Bornholmsgade / Aalborg),851008900,57038210,9935723
Grønlands Torv (Sohngårdsholmsvej / Aalborg),851017600,57024339,9942249
Elisevej (Humlebakken / Aalborg),851009100,57032448,9965962
Sofievej (Aalborg),851971700,57035036,9966457
Kaj Munks Vej (Nørre Tranders Vej / Aalborg),851971600,57036655,9965261
Chr. Kolds Vej (Nørre Tranders Vej / Aalborg),851971500,57037895,9961683
Skallerupvej (Aalborg),851070800,57039100,10013974
Hornevej (Øster Uttrup Vej / Aalborg),851985300,57040268,10015538
Strandbyvej (Øster Uttrup Vej / Aalborg),851985500,57038758,10022522
Politigården (Jyllandsgade / Aalborg),851012200,57042506,9925151
Boulevarden (Aalborg),851007400,57046237,9918913
Bornholmsgade (Aalborg),851210400,57042102,9934105
Nordkraft (Østerbro / Aalborg),851210500,57046093,9933925
Medborgerhuset (Nytorv / Aalborg),851302200,57047217,9927776
Bonnesensgade (Østerbro / Aalborg),851902300,57046012,9937404
Teglværks Allé (Østerbro / Aalborg),851902400,57045662,9942042
Vejgaard Torv (Nørre Tranders Vej / Aalborg),851338400,57041877,9951786
Østerport (Østerbro / Aalborg),851212900,57045338,9945791
Langgade (Nørre Tranders Vej / Aalborg),851971400,57039522,9956982
Jomfru Ane Gade (Borgergade/ Aalborg),851002400,57051028,9918230
Nytorv v/ Salling (Aalborg),851000200,57048619,9922356
Nytorv (Østeraagade / Aalborg),851801200,57049545,9922167
Vesterbrogade (Nørresundby),851001400,57057824,9921556
Åvej (Thistedvej / Nørresundby),851500200,57070912,9894327
Viaduktvej (Thistedvej / Nørresundby),851700300,57068638,9899613
Lindholm Station (Bus / Lindholm Nærbanevej),851220500,57066795,9904566
Stationsvej (Thistedvej / Nørresundby),851805200,57062418,9911946
Sundby Brygge (Vesterbrogade / Nørresundby),851802900,57059748,9918607
Tagholm (Lufthavnsvej / Nørresundby),851910100,57077448,9884817
Stenholm (Lufthavnsvej / Nørresundby),851910200,57075200,9887873
Hovedværkstedet (Lufthavnsvej / Nørresundby),851806100,57083587,9876295
Aalborg Lufthavn (Lufthavnsvej / Nørresundby),851710300,57086185,9872708
Aalborg busterminal,972800025,57042201,9917825
Kalenderparken (Klarupvej / Klarup),851012500,57014128,10065850
Septembervej (Klarupvej / Klarup),851008700,57015575,10058614
Vestermarksvej (Vandværksvej / Storvorde),837900400,57006604,10092288
Smedevænget (Vandværksvej / Storvorde),837900500,57004743,10100603
Vandværksvej (Storvorde),837900100,57005264,10097717
Erik Jørgensens Plads (Storvorde),837000800,57001633,10101807
Markvej (Storvorde),837900200,57001731,10095605
Rødhøjvej (Storvorde),837900300,56999898,10100405
