Tårupvej (Vokslev / Aalborg komm),831200500,56968292,9699127
Vokslev Friskole,831200400,56965730,9685373
Moldbjergvej (Moldbjerg / Rebild komm.),845250200,56962637,9731757
Moldbjerg (Rebild Kommune),845250100,56956938,9733034
Volstrup (Voldstrupvej / Rebild Kommune),845200600,56955904,9775814
Horsmarkvej (Volstrupvej / Godthåb),845300800,56957361,9790394
Oldstien (Tostrupvej / Godthåb),851071100,56970997,9810143
Lille Volstrupvej ( Tostrupvej / Godthåb),851931800,56966422,9809748
Godthåb Skole(Godthåb/Aalborg),851001900,56962485,9809415
Engblommevej (Ridemandsmøllevej / Godthåb),851931600,56962889,9814404
Digesvalevej (Runesvinget / Godthåb),851932900,56963258,9816157
Ericavej (Ridemandsmøllevej / Godthåb),851300400,56964435,9818647
Zincksvej (Ridemandsmøllevej / Svenstrup),851931400,56965415,9822189
Danagården ( Runesvinget / Svenstrup),851931300,56965721,9825407
Midgården (Runesvinget / Svenstrup),851931200,56966179,9830117
Svenstrup Skolesti (Aalborg Kommune),851931100,56969029,9834396
Langdyssen S (Svenstrup),851071200,56968966,9834378
Runddyssen Vest (Svenstrup),851071700,56969757,9835942
Langdyssen (Godthåbsvej / Svenstrup),851930800,56971914,9838010
Svenstrup Kirke (Aalborg Kommune),851500300,56977739,9838307
Skipper Clement Centret (Runddyssen / Svenstrup,851931000,56968426,9840437
Lobovej (Godthåbsvej / Svenstrup),851930600,56972669,9842504
Stendyssen (Gl. Viborgvej / Svenstrup),851201100,56966305,9841075
Sjællandsvej (Godthåbsvej / Svenstrup),851930400,56972606,9847125
Svenstrup Torv (Godthåbsvej / Svenstrup),851072300,56972229,9853202
Svenstrup Skolevej (Hobrovej / Svenstrup),851200100,56974242,9855386
Svenstrup Station (Hobrovej / Svenstrup),851804100,56972310,9855341
Svenstrup Station (Aalborg Kommune),851805300,56971537,9855737
Svenstrup St. (Jylland),8600023,56973092,9856294
Skipper Clements Vej ( Hobrovej / Svenstrup),851071500,56977550,9856231
Lejrevej (Svenstrup),851071300,56966530,9854586
Bopladsen ( Runesvinget / Svenstrup),851980000,56961001,9847961
Stubmøllevej (Hobrovej / Svenstrup),851933200,56967474,9855611
Jellingvej (Svenstrup),851801800,56964246,9853426
