11,Skallerupvej,"851052700,851101900,851942600,851942500,851102000,851933700,851933500,851933600,851933400,851300500,972800025,851007400,851000200,851302200,851210500,851902300,851902400,851212900,851338400,851971400,851971500,851971600,851971700,851802300,851009100,851013900,851982900,851983500,851983600,851060800,851983900,851984000,851985400,851985500,851985300,851070800","0,0,1,0,1,1,1,2,1,1,7,2,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1"
11,Skelagervej,"851070800,851985300,851985500,851985400,851984000,851983900,851060800,851983600,851983500,851982900,851013900,851009100,851802300,851971700,851971600,851971500,851971400,851338400,851212900,851902400,851902300,851210500,851302200,851000200,851007400,972800025,851300500,851933400,851933600,851933500,851933700,851102000,851942500,851942600,851101900,851942800,851052700","0,0,1,1,0,2,1,1,0,1,1,1,1,1,1,1,0,1,2,1,0,1,1,2,2,7,2,0,2,1,1,1,1,0,1,0,1"
12,Vesterkæret,"851000300,851992000,851008100,851008400,851008300,851007900,851900800,851970700,851283300,851007800,851007700,851006300,851007600,851002100,851901200,851210400,851023100,851012200,972800025,851007400,851801200,851002400,851905600,851121900,851946600,851203300,851102200,851025000","0,0,2,1,1,2,1,1,1,0,1,1,1,2,1,2,1,1,5,2,1,1,2,1,1,1,1,1"
12,Universitetet,"851025000,851102200,851203300,851946600,851121900,851905600,851002400,851801200,851007400,972800025,851012200,851210400,851901200,851002100,851007200,851007600,851006300,851007700,851007800,851283300,851970700,851970800,851900800,851007900,851008300,851008400,851008100,851992000,851000300","0,0,0,1,1,0,2,2,2,7,0,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,2,1"
13,Væddeløbsbanen,"851962700,851962600,851962500,851962400,851962300,851962200,851032000,851962000,851153200,851961600,851802100,851961000,851023400,851202800,851210200,851210800,851210700,851023100,851012200,972800025,851007400,851801200,851002400,851905600,851121900,851946600,851203300,851102200,851948500,851007300","0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5,0,2,0,1,1,1,1,2,1,2"
13,Gug Øst,"851007300,851948500,851102200,851203300,851946600,851121900,851905600,851002400,851801200,851007400,972800025,851012200,851023100,851210700,851210800,851210200,851202800,851023400,851961000,851802100,851961600,851153200,851962000,851032000,851962200,851962300,851962400,851962500,851962600,851962700","0,0,1,0,1,1,1,1,2,2,7,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
14,Universitet,"851060400,851060200,851932800,851152000,851000900,851932500,851932400,851995200,851103900,851423000,851110500,851113100,851943000,851052700,851942800,851899100,851935000,851103700,851103600,851934000,851933900,851933100,851103200,851003500,851300500,972800025,851007400,851000200,851302200,851210500,851210400,851008900,851108200,851008200,851971100,851009100,851013900,851982900,851983500,851983600,851060800,851211600,851983300,851983200,851000300","0,0,1,4,3,1,1,1,1,2,1,0,2,1,0,1,1,1,1,1,0,0,1,2,2,8,2,2,1,1,2,2,2,1,1,1,1,1,0,1,1,1,2,2,2"
14,Skelagervej,"851000300,851983200,851983300,851211600,851060800,851983600,851983500,851982900,851013900,851009100,851971100,851008200,851108200,851008900,851210400,851211300,851210500,851302200,851000200,851007400,972800025,851300500,851003500,851103200,851933900,851934000,851103600,851103700,851935000,851943400,851002000,851103800,851943000,851052700","0,3,0,1,1,1,1,0,1,1,1,1,2,1,2,0,1,1,1,2,6,3,1,1,1,1,1,1,1,1,0,2,1,1"
15,Hasseris,"851053100,851964400,851964200,851964000,851963800,851102500,851153100,851963200,851014900,851153200,851961600,851961400,851102300,851009200,851108200,851008900,851210400,851023100,851012200,972800025,851101100,851000700,851905200,851941000,851941100,851941200,851941300,851001500,851088900,851949300,851949400,851949700,851089100,851045800","0,0,0,1,1,2,0,1,1,1,1,1,1,1,1,3,1,1,1,5,2,1,0,1,1,0,1,0,1,1,1,1,2,1"
15,Visse,"851053400,851964700,851053100","0,4,3"
