Oldstien (Tostrupvej / Godthåb),851071100,56970997,9810143
Lille Volstrupvej ( Tostrupvej / Godthåb),851931800,56966422,9809748
Godthåb Skole(Godthåb/Aalborg),851001900,56962485,9809415
Engblommevej (Ridemandsmøllevej / Godthåb),851931600,56962889,9814404
Ericavej (Ridemandsmøllevej / Godthåb),851300400,56964435,9818647
Zincksvej (Ridemandsmøllevej / Svenstrup),851931400,56965415,9822189
Danagården ( Runesvinget / Svenstrup),851931300,56965721,9825407
Midgården (Runesvinget / Svenstrup),851931200,56966179,9830117
Svenstrup Skolesti (Aalborg Kommune),851931100,56969029,9834396
Langdyssen (Godthåbsvej / Svenstrup),851930800,56971914,9838010
Lobovej (Godthåbsvej / Svenstrup),851930600,56972669,9842504
Sjællandsvej (Godthåbsvej / Svenstrup),851930400,56972606,9847125
Svenstrup Torv (Godthåbsvej / Svenstrup),851072300,56972229,9853202
Svenstrup Skolevej (Hobrovej / Svenstrup),851200100,56974242,9855386
Svenstrup Station (Hobrovej / Svenstrup),851804100,56972310,9855341
Skipper Clements Vej ( Hobrovej / Svenstrup),851071500,56977550,9856231
Marathonvej (Hobrovej / Svenstrup),851803500,56981685,9857714
Atletikvej (Hobrovej / Svenstrup),851805800,56986117,9859593
Dall Kirke (Dallvej / Dall),851152000,56980004,9882515
Dall Villaby (Aalborg),851000900,56989380,9885608
Ikea (Hobrovej / Aalborg),851805700,56995709,9869077
Hyldemorvej (Dallvej / Dall Villaby),851932500,56991987,9886588
Nordøstvej (Ferslev Byvej / Ferslev),851932800,56954709,9891505
Finstrupgård (Dallvej / Dall),851932400,56995718,9887469
Ferslev Skole (Rævedalsvej / Ferslev),851060400,56952291,9898948
Poulstrupvej (Ferslev Byvej / Ferslev),851060200,56951814,9895568
Visse Ladegård (Vissevej / Aalborg),851053100,56991870,9931057
Solbakken (Engkildevej / Aalborg),851964700,56991250,9938563
Nøvling Skole (Aalborg Kommune),851053400,56973047,9956182
Agrihøj (Vissevej / Aalborg),851964400,56995556,9929250
Sæderupvej (Gistrup),851021300,56986054,9977379
Kvisten (Nøvlingvej / Gistrup),851994300,56988913,9981666
Grenen  (Nøvlingvej / Gistrup),851994200,56991475,9984408
Zentavej  (Lyngtoften / Gistrup),851994500,56992967,9989496
Splinten  (Nøvlingvej / Gistrup),851994100,56994100,9984885
Digevangen  (Lyngtoften / Gistrup),851994600,56993596,9992840
Kobbelhøjvej (Hadsundvej / Gistrup),851994700,56993030,9996607
Gistrup Skole (Gistrup),851023200,56992140,10002593
Gistrupparken (Hadsundvej / Gistrup),851994800,56993668,9998818
Hjortevej (Hobrovej / Aalborg),851803600,56999988,9874740
Systemvej (Dallvej / Aalborg),851995200,57001048,9890786
Bilka (Hobrovej / Aalborg),851071600,57004716,9880601
Dallvej (Aalborg),851103900,57005408,9882605
Skalborglund (Nibevej / Aalborg),851413000,57006460,9880457
Kongshøjvej (Vissevej / Aalborg),851964200,56998981,9926724
Vedbæk (Vissevej / Aalborg),851964000,57001830,9922778
Indkildevej (Gugvej / Aalborg),851963800,57004194,9922275
Træet (Nøvlingvej / Gistrup),851994000,56997030,9987069
Mølletoften (Hadsundvej / Gistrup),851400100,56997147,9993703
Beltoften  (Hadsundvej / Gistrup),851804200,56998846,9993173
Elmelunden (Hadsundvej / Gistrup),851804300,57001039,9993955
H. Drachmanns Vej (Letvadvej / Aalborg),851423000,57006990,9880439
Digtervejen (Letvadvej / Aalborg),851110500,57010226,9879216
Dyrskuevej (Hobrovej / Aalborg),851110800,57007727,9884475
Dyrskuepladsen (Dyrskuevej / Aalborg),851100800,57007520,9885967
Lerkenfeltvej (Letvadvej / Aalborg),851113100,57012671,9877823
Lyngholmsvej (Stationsmestervej / Aalborg),851940200,57009049,9889761
Stationsmestervej (Hobrovej / Aalborg),851100600,57010244,9887648
Rosengården (Stationsmestervej / Aalborg),851940300,57007350,9892961
Østervænget (Stationsmestervej / Aalborg),851940100,57007422,9895388
Skalborg Station (Stationsmestervej / Aalborg),851220300,57008356,9897860
Anker Engelunds Vej (Stationsmestervej / Aalborg),851935500,57009759,9900710
Hermesvej (Pallasvej / Aalborg),851940000,57013678,9906571
Sofiendal Skole (Hobrovej / Aalborg),851400500,57016285,9895199
Fælledvej (Gugvej / Aalborg),851102500,57007790,9926679
Rødtjørnevej (Gugvej / Aalborg),851153100,57010505,9925942
Junovej (Pallasvej / Aalborg),851935400,57015503,9908458
Nestorvej (Stjernevej / Aalborg),851935300,57016501,9906058
Christmas Møllers Vej (Landlystvej / Aalborg),851962700,57008437,9939408
Apollonvej (Landlystvej / Aalborg),851962600,57007404,9943840
Højbovej (Gugvej / Aalborg),851963200,57014505,9925097
